"","X.U.FEFF.","ticker","twin","name","exch","cat","country","stockNumber"
"Rogers Communications Inc..TOR.307",19578,"RCI-B.TO","x","Rogers Communications Inc.","TOR","Wireless Communications","Canada",58
"Royal Dutch Shell plc.LSE.32",5396,"RDSA.L","x","Royal Dutch Shell plc","LSE","","United Kingdom",59
"Royal Dutch Shell plc.LSE.33",5506,"RDSB.L","x","Royal Dutch Shell plc","LSE","Major Integrated Oil & Gas","United Kingdom",59
"Royal Dutch Shell plc.NYQ.30",5371,"RDS-A","x","Royal Dutch Shell plc","NYQ","","USA",60
"Royal Dutch Shell plc.NYQ.31",5388,"RDS-B","x","Royal Dutch Shell plc","NYQ","Major Integrated Oil & Gas","USA",60
"Royal Dutch Shell plc.PNK.38",6472,"RYDBF","x","Royal Dutch Shell plc","PNK","","USA",61
"Royal Dutch Shell plc.PNK.39",6473,"RYDAF","x","Royal Dutch Shell plc","PNK","","USA",61
"Slottsviken Fastighetsaktiebola.STO.740",69894,"SLOTT-B.ST","x","Slottsviken Fastighetsaktiebola","STO","","Sweden",62
"Slottsviken Fastighetsaktiebola.STO.741",69912,"SLOTT-A.ST","x","Slottsviken Fastighetsaktiebola","STO","","Sweden",62
"Starbreeze AB (publ).STO.833",106078,"STAR-A.ST","x","Starbreeze AB (publ)","STO","","Sweden",63
"Starbreeze AB (publ).STO.834",106083,"STAR-B.ST","x","Starbreeze AB (publ)","STO","","Sweden",63
"Stingray Digital Group Inc..TOR.676",6499,"RAY-A.TO","x","Stingray Digital Group Inc.","TOR","","Canada",64
"Stingray Digital Group Inc..TOR.677",52514,"RAY-B.TO","x","Stingray Digital Group Inc.","TOR","","Canada",64
"SUELOPETROL.CCS.810",98083,"SPT-B.CR","x","SUELOPETROL","CCS","","Venezuela",65
"SUELOPETROL.CCS.811",98630,"SPT-O.CR","x","SUELOPETROL","CCS","","Venezuela",65
"Svenska Cellulosa Aktiebolaget SCA (publ).STO.605",1151,"SCA-A.ST","x","Svenska Cellulosa Aktiebolaget SCA (publ)","STO","Personal Products","Sweden",66
"Svenska Cellulosa Aktiebolaget SCA (publ).STO.609",34507,"SCA-B.ST","x","Svenska Cellulosa Aktiebolaget SCA (publ)","STO","Personal Products","Sweden",66
"Svenska Handelsbanken AB (publ).STO.752",74650,"SHB-B.ST","x","Svenska Handelsbanken AB (publ)","STO","Money Center Banks","Sweden",67
"Svenska Handelsbanken AB (publ).STO.753",74708,"SHB-A.ST","x","Svenska Handelsbanken AB (publ)","STO","Money Center Banks","Sweden",67
"Teck Resources Limited.TOR.263",15711,"TCK-B.TO","x","Teck Resources Limited","TOR","","Canada",68
"Teck Resources Limited.TOR.264",15745,"TCK-A.TO","x","Teck Resources Limited","TOR","","Canada",68
"Tele2 AB (publ).STO.320",20570,"TEL2-B.ST","x","Tele2 AB (publ)","STO","Wireless Communications","Sweden",69
"Tele2 AB (publ).STO.323",28073,"TEL2-A.ST","x","Tele2 AB (publ)","STO","Wireless Communications","Sweden",69
"Telefonaktiebolaget LM Ericsson (publ).STO.229",8041,"ERIC-B.ST","x","Telefonaktiebolaget LM Ericsson (publ)","STO","Communication Equipment","Sweden",70
"Telefonaktiebolaget LM Ericsson (publ).STO.236",65395,"ERIC-A.ST","x","Telefonaktiebolaget LM Ericsson (publ)","STO","Communication Equipment","Sweden",70
"Transat AT, Inc..TOR.87",1141,"TRZ-B.TO","x","Transat AT, Inc.","TOR","","Canada",71
"Transat AT, Inc..TOR.88",40168,"TRZ-A.TO","x","Transat AT, Inc.","TOR","","Canada",71
"Transcontinental Inc..TOR.684",1323,"TCL-A.TO","x","Transcontinental Inc.","TOR","Publishing - Newspapers","Canada",72
"Transcontinental Inc..TOR.686",56413,"TCL-B.TO","x","Transcontinental Inc.","TOR","Publishing - Newspapers","Canada",72
"Victoria Park AB (publ).STO.339",22679,"VICP-B.ST","x","Victoria Park AB (publ)","STO","","Sweden",73
"Victoria Park AB (publ).STO.341",92309,"VICP-A.ST","x","Victoria Park AB (publ)","STO","","Sweden",73
"Watsco, Inc..NYQ.65",11602,"WSO","x","Watsco, Inc.","NYQ","Electronics Wholesale","USA",74
"Watsco, Inc..NYQ.66",22986,"WSO-B","x","Watsco, Inc.","NYQ","","USA",74
"Wilmington Capital Management Inc..TOR.269",16173,"WCM-B.TO","x","Wilmington Capital Management Inc.","TOR","Asset Management","Canada",75
"Wilmington Capital Management Inc..TOR.270",16210,"WCM-A.TO","x","Wilmington Capital Management Inc.","TOR","Asset Management","Canada",75
