,ticker,twin,name,exch,cat,country
5638,DMXHF,,DHX Media Ltd.,PNK,,USA
6103,DHX-B.TO,x,DHX Media Ltd.,TOR,Entertainment - Diversified,Canada
50662,DHX-A.TO,x,DHX Media Ltd.,TOR,Entertainment - Diversified,Canada
60880,DMQHF,,DHX Media Ltd.,PNK,,USA
6397,SVED-B.ST,,Svedbergs i Dalstorp AB,STO,General Building Materials,Sweden
6483,RIAS-B.CO,,RIAS A/S,CPH,,Denmark
1634,NVZMY,,Novozymes A/S,PNK,,USA
1635,NVZMF,,Novozymes A/S,PNK,,USA
6590,NZYM-B.CO,,Novozymes A/S,CPH,,Denmark
61437,NZYMB.SW,,Novozymes A/S,EBS,,Switzerland
61443,NZM2.SG,,Novozymes A/S,STU,,Germany
61454,0Q4U.L,,Novozymes A/S,LSE,,United Kingdom
61530,NZM2.F,,Novozymes A/S,FRA,,France
6676,MDRNSUT-B.BO,,MODERN DENIM LTD.,BSE,,India
6710,LL-B.CO,x,Land & Leisure A/S,CPH,,Denmark
61562,LL-A.CO,x,Land & Leisure A/S,CPH,,Denmark
7401,CJR-B.TO,,Corus Entertainment Inc.,TOR,Independent Oil & Gas,Canada
7476,CJREF,,Corus Entertainment Inc.,PNK,,USA
65039,9CO.F,,Corus Entertainment Inc.,FRA,,France
7864,ORC-B.V,,Orca Exploration Group Inc.,VAN,Independent Oil & Gas,Canada
18269,ORXGF,,Orca Exploration Group Inc.,PNK,,USA
67054,ORC-A.V,,Orca Exploration Group Inc.,VAN,,Canada
1748,ERCA.DE,,Telefonaktiebolaget LM Ericsson (publ),GER,Communication Equipment,Germany
7045,ERIC,,Telefonaktiebolaget LM Ericsson (publ),NMS,,USA
7546,ERIXF,,Telefonaktiebolaget LM Ericsson (publ),PNK,,USA
8040,ERICB.ST,,Telefonaktiebolaget LM Ericsson (publ),STO,,Sweden
8041,ERIC-B.ST,x,Telefonaktiebolaget LM Ericsson (publ),STO,Communication Equipment,Sweden
8049,ERCB.DE,,Telefonaktiebolaget LM Ericsson (publ),GER,Communication Equipment,Germany
30581,ERCA.F,,Telefonaktiebolaget LM Ericsson (publ),FRA,Communication Equipment,France
65364,ERCG.DE,,Telefonaktiebolaget LM Ericsson (publ),GER,Communication Equipment,Germany
65369,ERIBR.HE,,Telefonaktiebolaget LM Ericsson (publ),HEL,,Finland
